student,1.a,comment,grade,1.b,comment,grade,1.c,comment,grade,1.d,comment,grade,1.e,comment,grade,1.f,comment,grade,1.g,comment,grade,1.h,comment,grade
A0041688X,"SELECT DISTINCT cc.ssn
FROM credit_cards cc, transactions t
WHERE cc.number = t.number
AND date(t.datetime)='2017-12-25'
AND cc.type='visa';",,,"SELECT c.first_name,c.last_name
FROM customers c, credit_cards cc
WHERE c.ssn=cc.ssn
AND c.country='Singapore'
AND cc.type = 'visa' 
INTERSECT
SELECT c1.first_name,c1.last_name
FROM customers c1, credit_cards cc1
WHERE c1.ssn = cc1.ssn
AND c1.country='Singapore'
AND cc1.type='jcb';",,,"SELECT c.ssn, COUNT(cc.number) AS no_credit_card
FROM customers c
LEFT OUTER JOIN credit_cards cc ON c.ssn=cc.ssn
GROUP BY c.ssn
ORDER BY COUNT(cc.number) ASC;",,,"SELECT DISTINCT c.ssn, cc.type, COUNT(cc1.type) AS num_cc
FROM customers c
CROSS JOIN credit_cards cc
LEFT OUTER JOIN credit_cards cc1 
ON cc1.ssn=cc.ssn
AND cc1.ssn=c.ssn
AND cc1.number=cc.number
GROUP BY cc.type,c.ssn
ORDER BY c.ssn;",,,"SELECT c.country, COUNT(DISTINCT c.ssn) AS no_of_customers
FROM customers c, merchants m, transactions t, credit_cards cc
WHERE cc.number=t.number
AND cc.ssn=c.ssn
AND t.code=m.code
AND c.country<>m.country
GROUP BY c.country
ORDER BY COUNT(c.ssn) ASC;",,,"SELECT t.identifier, cc.type, t.amount
FROM credit_cards cc
INNER JOIN transactions t ON cc.number=t.number
INNER JOIN (SELECT cc1.type,
			MAX(t1.amount) AS max_value
			FROM transactions t1,credit_cards cc1 
			WHERE t1.number=cc1.number
			GROUP BY cc1.type) combo
			ON cc.type=combo.type 
			AND t.amount=combo.max_value
GROUP BY cc.type,t.identifier
ORDER BY cc.type;",,,"DROP VIEW IF EXISTS combot;
CREATE VIEW combot AS 
(SELECT t.identifier, cc.type, t.amount 
FROM credit_cards cc, transactions t
LEFT OUTER JOIN transactions t1
ON t1.number=t.number
AND t1.amount >t.amount
WHERE t1.amount ISNULL
AND cc.number=t.number);
SELECT ct.identifier,ct.type,ct.amount
FROM combot ct
LEFT OUTER JOIN combot ct1
ON ct1.type=ct.type
AND ct1.amount > ct.amount
WHERE ct1 ISNULL
ORDER BY ct.type;",,,"SELECT DISTINCT m.code,m.name
FROM merchants m, transactions t, credit_cards cc
WHERE m.code = t.code
AND t.number=cc.number
AND (cc.type LIKE 'visa%' OR cc.type LIKE 'diners-club%')
AND m.code NOT IN (SELECT DISTINCT m1.code 
				   FROM merchants m1,transactions t1,credit_cards cc1
				   WHERE m1.code=t1.code
				   AND t1.number=cc1.number
				   AND t1.amount>=888
				   AND(cc1.type like 'visa%' or cc1.type like 'diners-club%'))
ORDER BY m.code;",,
A0047158B,"SELECT DISTINCT cc.ssn 
FROM credit_cards cc
WHERE cc.type = 'visa'
AND cc.number IN (
	SELECT DISTINCT t.number
	FROM transactions t
	WHERE t.datetime >= '2017-12-25'
	AND t.datetime < '2017-12-26');",,,"SELECT c.first_name, c.last_name
FROM customers c
WHERE c.country = 'Singapore'
AND c.ssn IN (
	SELECT DISTINCT cc1.ssn
	FROM credit_cards cc1
	WHERE cc1.type = 'jcb')
AND c.ssn IN (
	SELECT DISTINCT cc2.ssn
	FROM credit_cards cc2
	WHERE cc2.type = 'visa');",,,"SELECT cc.ssn, COUNT(DISTINCT cc.number) AS count
FROM credit_cards cc
GROUP BY cc.ssn
UNION
SELECT DISTINCT c.ssn, 0 AS count
FROM customers c
WHERE c.ssn NOT IN (
	SELECT DISTINCT cc1.ssn
	FROM credit_cards cc1);",,,"SELECT a.ssn, a.type, CASE WHEN cc3.count IS NULL THEN 0 ELSE cc3.count END as count
FROM 
	(SELECT DISTINCT c.ssn, cc.type
	FROM customers c, (
		SELECT DISTINCT cc1.type
		FROM credit_cards cc1) AS cc) AS a
LEFT JOIN (
	SELECT cc2.ssn, cc2.type, COUNT(DISTINCT cc2.number) AS count
	FROM credit_cards cc2
	GROUP BY cc2.ssn, cc2.type) AS cc3
ON cc3.ssn = a.ssn 
AND cc3.type = a.type;",,,"SELECT  c.country, COUNT(DISTINCT c.ssn) AS count
FROM transactions t, merchants m, credit_cards cc, customers c
WHERE t.code = m.code
AND t.number = cc.number
AND cc.ssn = c.ssn
AND m.country <> c.country
GROUP BY c.country;",,,"SELECT cc.type, t.identifier
FROM transactions t, credit_cards cc, (
	SELECT cc1.type, MAX(t1.amount) AS max
	FROM transactions t1, credit_cards cc1
	WHERE t1.number = cc1.number
	GROUP BY cc1.type) AS d
WHERE t.number = cc.number
AND cc.type = d.type
AND t.amount >= d.max;",,,"SELECT cc.type, t.identifier
FROM transactions t, credit_cards cc
WHERE t.number = cc.number
AND t.amount >= ALL (
	SELECT t1.amount
	FROM transactions t1, credit_cards cc1
	WHERE t1.number = cc1.number
	AND cc1.type = cc.type);",,,"SELECT DISTINCT m.code, m.name
FROM merchants m
WHERE m.code NOT IN (
	SELECT m1.code
	FROM merchants m1, transactions t, credit_cards cc
	WHERE m1.code = t.code
	AND cc.number = t.number
	AND (cc.type LIKE '%visa%' OR cc.type LIKE '%diners-club%')
	AND t.amount >= 888);",,
A0057228A,"SELECT DISTINCT cu.ssn, cc.type
FROM customers cu, credit_cards cc, transactions t
WHERE cu.ssn = cc.ssn
AND cc.number = t.number
AND cc.type = 'visa'
AND cast(t.datetime as date) = '2017-12-25';",,,"SELECT cu.ssn, cu.first_name, cu.last_name
FROM customers cu, credit_cards cc
WHERE cu.ssn = cc.ssn
AND cc.type = 'visa' 
AND cu.country = 'Singapore'
INTERSECT
SELECT cu.ssn, cu.first_name, cu.last_name
FROM customers cu, credit_cards cc
WHERE cu.ssn = cc.ssn
AND cc.type = 'jcb' 
AND cu.country = 'Singapore';",,,"SELECT cu.ssn, (CASE WHEN COUNT (cc.ssn) IS NULL THEN 0 ELSE COUNT (cc.ssn) END) as no_of_credit_cards
FROM customers cu LEFT OUTER JOIN credit_cards cc ON cu.ssn = cc.ssn
GROUP BY cu.ssn
ORDER BY no_of_credit_cards ASC;",,,"SELECT cu.ssn,
SUM(CASE WHEN cc.type = 'diners-club-us-ca' THEN 1 ELSE 0 END) AS diners_club_us_ca, 
SUM(CASE WHEN cc.type = 'instapayment' THEN 1 ELSE 0 END) AS instapayment,
SUM(CASE WHEN cc.type = 'bankcard' THEN 1 ELSE 0 END) AS bankcard,
SUM(CASE WHEN cc.type = 'diners-club-carte-blanche' THEN 1 ELSE 0 END) AS diners_club_carte_blanche,
SUM(CASE WHEN cc.type = 'visa' THEN 1 ELSE 0 END) AS visa,
SUM(CASE WHEN cc.type = 'diners-clubs-international' THEN 1 ELSE 0 END) AS diners_club_international,
SUM(CASE WHEN cc.type = 'laser' THEN 1 ELSE 0 END) AS laser,
SUM(CASE WHEN cc.type = 'americanexpress' THEN 1 ELSE 0 END) AS americanexpress,
SUM(CASE WHEN cc.type = 'maestro' THEN 1 ELSE 0 END) AS maestro,
SUM(CASE WHEN cc.type = 'solo' THEN 1 ELSE 0 END) AS solo,
SUM(CASE WHEN cc.type = 'switch' THEN 1 ELSE 0 END) AS switch,
SUM(CASE WHEN cc.type = 'jcb' THEN 1 ELSE 0 END) AS jcb,
SUM(CASE WHEN cc.type = 'visa-electron' THEN 1 ELSE 0 END) AS visa_electron,
SUM(CASE WHEN cc.type = 'china-unionpay' THEN 1 ELSE 0 END) AS china_unionpay,
SUM(CASE WHEN cc.type = 'diners-club-enroute' THEN 1 ELSE 0 END) AS diners_club_enroute,
SUM(CASE WHEN cc.type = 'mastercard' THEN 1 ELSE 0 END) AS mastercard
FROM customers cu LEFT OUTER JOIN credit_cards cc ON cu.ssn = cc.ssn
GROUP BY cu.ssn, cc.type;",,,"SELECT cu.country, COUNT (DISTINCT t.code)
FROM transactions t, customers cu, merchants m
WHERE t.code = m.code
AND cu.country <> m.country
GROUP BY cu.country;",,,"SELECT t.identifier, t.amount as largestamount, cc.type
FROM transactions t, credit_cards cc 
WHERE t.number = cc.number
AND (t.amount, cc.type) IN (
	SELECT MAX (t.amount), cc.type
	FROM transactions t LEFT OUTER JOIN credit_cards cc ON t.number = cc.number
	GROUP BY cc.type )
ORDER BY largestamount DESC;",,,"SELECT t1.identifier, t1.amount as largestamount, c1.type
FROM transactions t1, credit_cards c1 
WHERE t1.number = c1.number
AND NOT EXISTS (SELECT * 
		FROM transactions t2, credit_cards c2 
		WHERE t2.number = c2.number AND t2.amount > t1.amount AND c1.type = c2.type)
ORDER BY largestamount DESC;",,,"SELECT DISTINCT m1.code, m1.name
FROM transactions t1 LEFT OUTER JOIN merchants m1 ON m1.code = t1.code LEFT OUTER JOIN credit_cards c1 ON t1.number = c1.number
WHERE NOT EXISTS (SELECT * 
		FROM transactions t2 LEFT OUTER JOIN merchants m2 ON m2.code = t2.code LEFT OUTER JOIN credit_cards c2 ON t2.number = c2.number
		WHERE (t2.amount >= 888 AND (c2.type LIKE '%visa%' or c2.type LIKE '%diners-club%' ) AND m1.name = m2.name));",,
A0060127U,"SELECT distinct c.ssn
FROM transactions as t, credit_cards as cc, customers as c
WHERE cc.ssn=c.ssn
AND cc.number = t.number
AND datetime <'2017-12-26'
AND datetime >= '2017-12-25'
AND type= 'visa';",,,"SELECT DISTINCT c.ssn, c.first_name, c.last_name
FROM customers as c, credit_cards as cc1, credit_cards as cc2
WHERE c.ssn=cc1.ssn
AND c.ssn=cc2.ssn
AND c.country= 'Singapore'
AND cc1.type = 'visa'
AND cc2.type= 'jcb';",,,"SELECT c.ssn,count(cc.number)
FROM customers AS c LEFT OUTER JOIN credit_cards AS cc ON c.ssn=cc.ssn
GROUP BY c.ssn;",,,"SELECT cus1.ssn, cus2.type, COUNT(credit_cards.number)
FROM (SELECT DISTINCT customers.ssn
	  FROM customers) AS cus1
	  CROSS JOIN
	  (SELECT DISTINCT credit_cards.type
	  FROM credit_cards) AS cus2
LEFT JOIN credit_cards 
ON cus1.ssn = credit_cards.ssn AND cus2.type = credit_cards.type
GROUP BY cus1.ssn, cus2.type
ORDER BY cus1.ssn, cus2.type;",,,"SELECT c.country, count (distinct c.ssn)
FROM merchants as m , transactions as t, credit_cards as cc, customers as c
WHERE m.code= t.code
AND t.number = cc.number
AND c.ssn = cc.ssn
AND m.country <> c.country
GROUP BY c.country;",,,"SELECT t1.identifier
FROM transactions as t1, credit_cards as cc1
WHERE cc1.number = t1.number
GROUP BY cc1.type,t1.identifier
HAVING t1.amount >= All (SELECT max(t2.amount)
	from transactions as t2, credit_cards as cc2
	WHERE t2.number = cc2.number
	AND cc1.type=cc2.type
	GROUP BY cc2.type, t2.amount);",,,"SELECT t1.identifier
FROM transactions as t1, credit_cards as cc1
WHERE t1.amount >= All (SELECT t2.amount
	from transactions as t2, credit_cards as cc2
	WHERE t2.number = cc2.number
	AND cc1.type=cc2.type
	GROUP BY cc2.type, t2.amount)
AND cc1.number = t1.number
GROUP BY cc1.type,t1.identifier;",,,"SELECT m1.code, m1.name
FROM merchants as m1
WHERE m1.code NOT IN (SELECT m2.code
	FROM merchants as m2, transactions as t, credit_cards as cc
	WHERE m2.code=t.code
	AND cc.number=t.number
	AND t.amount >= 888
	AND (cc.type LIKE 'visa%' OR cc.type LIKE 'diners-club%'));",,
A0080400B,"SELECT DISTINCT cc.ssn
FROM transactions t, credit_cards cc
WHERE DATE(t.datetime) = '2017-12-25'
	AND t.number=cc.number
	AND cc.type='visa'
;",,,"SELECT c.first_name, c.last_name
FROM customers c
WHERE c.country ='Singapore'
	AND c.ssn IN (
		SELECT cc1.ssn
		FROM credit_cards cc1, credit_cards cc2
		WHERE cc1.ssn = cc2.ssn
			AND cc1.type = 'visa' 
			AND cc2.type = 'jcb'
	)
;",,,"SELECT cc.ssn, COUNT(number) AS no_of_cards 
FROM credit_cards cc
GROUP BY cc.ssn 
UNION 
  ( SELECT c.ssn, 0 
    FROM customers c
    EXCEPT 
    SELECT cc.ssn, 0 
    FROM credit_cards cc
  );",,,"SELECT ssn, cc.type, COUNT(number) AS no_of_cards 
FROM credit_cards cc 
GROUP BY ssn, cc.type 
UNION 
SELECT ssn, type, 0 
FROM 
  (SELECT c.ssn, ty.type 
    FROM customers c, 
      (SELECT DISTINCT type 
       FROM credit_cards
      )AS ty 
    EXCEPT 
    SELECT cc.ssn, cc.type 
    FROM credit_cards cc
  ) AS no_cards;",,,"SELECT c.country, COUNT(c.ssn)
FROM customers c
WHERE EXISTS (
	SELECT cc.ssn
	FROM merchants m, transactions t, credit_cards cc
	WHERE t.number = cc.number
		AND m.code = t.code
		AND m.country <> c.country
		AND c.ssn = cc.ssn
	)
GROUP BY c.country;",,,"SELECT 
  tr.identifier
FROM 
  transactions tr
  LEFT JOIN credit_cards cc ON cc.number=tr.number
  INNER JOIN (
  				SELECT cc1.type, MAX(t.amount) AS max_amt
	  			FROM transactions t, credit_cards cc1
	  			WHERE t.number = cc1.number
	  			GROUP BY cc1.type) AS max_tab
	ON tr.amount = max_tab.max_amt AND cc.type=max_tab.type;",,,"SELECT t1.identifier
FROM 
	transactions t1 
    LEFT JOIN credit_cards cc1 
		ON cc1.number=t1.number
	LEFT JOIN (
    		SELECT t2.amount, cc2.type 
    		FROM transactions t2, credit_cards cc2
			WHERE cc2.number=t2.number) AS tc2 
		ON cc1.type = tc2.type AND t1.amount < tc2.amount 
WHERE 
  tc2.amount IS NULL;",,,"SELECT code, name 
FROM merchants 
WHERE 
  code NOT IN (
    SELECT t.code 
    FROM transactions t 
      LEFT JOIN credit_cards cc USING(number) 
    WHERE 
      (cc.type LIKE 'visa%' OR cc.type LIKE 'diners-club%') 
      AND (t.amount >= 888)
  );",,
A0086956J,"SELECT DISTINCT cc.ssn, cc.type
FROM credit_cards cc, transactions t
WHERE cc.number = t.number
	AND cc.type='visa'
	AND (t.datetime BETWEEN '2017-12-25 00:00:00' AND '2017-12-25 23:59:59');",,,"SELECT c.ssn, c.first_name, c.last_name
FROM customers c, credit_cards cc
WHERE c.ssn = cc.ssn
	AND c.country='Singapore'
	AND cc.type='jcb'
INTERSECT
SELECT c.ssn, c.first_name, c.last_name
FROM customers c, credit_cards cc
WHERE c.ssn = cc.ssn
	AND c.country='Singapore'
	AND cc.type='visa';",,,"SELECT cc.ssn, COUNT(*) AS count
FROM credit_cards cc
GROUP BY cc.ssn
UNION
SELECT c.ssn, 0
FROM customers c
WHERE c.ssn NOT IN (
	SELECT cc.ssn
	FROM credit_cards cc)
ORDER BY count;",,,"SELECT t1.ssn,t1.type,SUM(t1.count)
FROM(
	SELECT cc.ssn AS ssn, cc.type AS type, COUNT(*) AS count
	FROM credit_cards cc
	GROUP BY cc.ssn, cc.type
	UNION
	SELECT DISTINCT c.ssn AS ssn, cc.type AS type, 0 as count
	FROM customers c
	CROSS JOIN credit_cards cc) t1
GROUP BY t1.ssn, t1.type
ORDER BY t1.ssn, t1.type;",,,"SELECT c.country, COUNT(DISTINCT c.ssn)
FROM customers c, credit_cards cc, transactions t, merchants m
WHERE c.ssn = cc.ssn
	AND t.number = cc.number
	AND m.code = t.code
	AND m.country <> c.country
GROUP BY c.country;",,,"SELECT t.identifier, MAX(t.amount) AS amount
FROM transactions t, credit_cards cc
WHERE t.number=cc.number
GROUP BY cc.type, t.identifier
HAVING amount >= ALL
	(SELECT MAX(t1.amount)
	 FROM transactions t1, credit_cards cc1
	 WHERE t1.number=cc1.number
	 AND cc.type=cc1.type
	 GROUP BY cc1.type)
ORDER BY amount;",,,"SELECT t.identifier, t.amount
FROM transactions t, credit_cards cc
WHERE t.number = cc.number
	AND t.amount >= ALL(
		SELECT t2.amount
		FROM transactions t2, credit_cards cc2
		WHERE t2.number = cc2.number
			AND cc2.type = cc.type)
ORDER BY t.amount;",,,"SELECT m.code, m.name
FROM merchants m, transactions t, credit_cards cc
WHERE m.code = t.code
	AND t.number = cc.number
	AND (cc.type LIKE 'visa%' OR cc.type LIKE 'diners-club%')
GROUP BY m.code, m.name
HAVING  MAX(t.amount)<888;",,
A0090966R,"SELECT DISTINCT cc.ssn
FROM transactions t,
	credit_cards cc
WHERE cc.number = t.number
	AND cc.type = 'visa'
	AND t.datetime BETWEEN '2017-12-25 00:00:00' AND '2017-12-26 00:00:00';",,,"SELECT x.first_name,
	x.last_name
FROM
	(SELECT DISTINCT c.ssn,
			c.first_name,
			c.last_name
		FROM customers c,
			credit_cards cc1,
			credit_cards cc2
		WHERE c.ssn = cc1.ssn
		    AND c.ssn = cc2.ssn
			AND cc1.type = 'visa'
			AND cc2.type = 'jcb'
			AND c.country = 'Singapore') x;",,,"SELECT x.ssn,
	CASE
		WHEN x.cc_own IS NOT NULL THEN x.cc_own
		ELSE 0
	END AS number_of_cc_own
FROM
	(SELECT DISTINCT c.ssn,
			COUNT(DISTINCT cc.number) AS cc_own
		FROM customers c
		LEFT OUTER JOIN credit_cards cc ON c.ssn = cc.ssn
		GROUP BY c.ssn) x;",,,"SELECT y.ssn,
	y.type,
	CASE
		WHEN COUNT(number) IS NOT NULL THEN COUNT(number)
		ELSE 0
	END AS number_of_cc_own
FROM
	(SELECT x.*,
			cc2.number
		FROM
			(SELECT c.ssn,
					cc.type
				FROM
					(SELECT DISTINCT ssn
						FROM customers) c
				CROSS JOIN
					(SELECT DISTINCT type
						FROM credit_cards) cc) x
		LEFT JOIN
			(SELECT *
				FROM credit_cards) cc2 ON x.ssn = cc2.ssn
		AND x.type = cc2.type) y
GROUP BY 1,2
ORDER BY 1,2;",,,"SELECT c.country,
	COUNT(DISTINCT c.ssn)
FROM
	(SELECT ssn,
			country
		FROM customers) c
INNER JOIN
	(SELECT number, ssn
		FROM credit_cards) cc ON c.ssn = cc.ssn
INNER JOIN
	(SELECT DISTINCT number, code
		FROM transactions) T ON cc.number = t.number
INNER JOIN
	(SELECT code,
			country
		FROM merchants) m ON t.code = m.code
WHERE c.country <> m.country
GROUP BY 1;",,,"SELECT t2.identifier
FROM
	(SELECT identifier,
			amount, 
			number
		FROM transactions) t2
INNER JOIN
	(SELECT type, 
			number
		FROM credit_cards) cc2 ON t2.number = cc2.number 
WHERE (cc2.type,
	   t2.amount) in
		(SELECT cc1.type,
				MAX(t1.amount)
			FROM
				(SELECT type, 
						number
					FROM credit_cards) cc1
			INNER JOIN
				(SELECT identifier, 
						number, 
						amount
					FROM transactions) t1 ON cc1.number = t1.number
			GROUP BY 1);",,,"SELECT t2.identifier
FROM transactions t2,
	credit_cards cc2
WHERE t2.number = cc2.number
	AND t2.amount >= ALL
		(SELECT t1.amount
			FROM credit_cards cc1,
 				 transactions t1
			WHERE cc1.number = t1.number
				AND cc1.type = cc2.type);",,,"SELECT code,
	name
FROM merchants m
WHERE m.code not in
		(SELECT DISTINCT code
			FROM transactions
			WHERE amount >= '888'
				AND number in
					(SELECT DISTINCT number
						FROM credit_cards
						WHERE type like ANY (array['%visa%', '%diners-club%'])));",,
A0093740E,"SELECT * FROM customers;
SELECT * FROM credit_cards;
SELECT * FROM merchants;
SELECT * FROM transactions;
SELECT DISTINCT cc.ssn
FROM transactions t, credit_cards cc
WHERE cc.number = t.number
AND cc.type='visa'
AND t.datetime BETWEEN '2017-12-25 00:00:00' AND '2017-12-26 00:00:00';",,,"SELECT a.first_name, a.last_name
FROM (
 	(SELECT c.first_name, c.last_name, c.ssn
FROM customers c, credit_cards cc
WHERE c.ssn = cc.ssn
AND cc.type = 'visa'
AND c.country = 'Singapore') a
	INNER JOIN
	(SELECT c.first_name, c.last_name, c.ssn
FROM customers c, credit_cards cc
WHERE c.ssn = cc.ssn
AND cc.type = 'jcb'
AND c.country = 'Singapore') b
	on a.ssn = b.ssn
)
	GROUP BY a.ssn, a.first_name, a.last_name;",,,"SELECT c.ssn, COUNT(cc.number)
FROM customers c LEFT OUTER JOIN credit_cards cc ON c.ssn = cc.ssn
GROUP BY c.ssn;",,,"SELECT a.ssn, a.type, 
   CASE WHEN b.nocc ISNULL THEN 0
	ELSE b.nocc END
	FROM (
		SELECT c.ssn, cc.type
			FROM customers c, credit_cards cc
			GROUP BY c.ssn, cc.type) a
		LEFT OUTER JOIN
		(SELECT c.ssn, cc.type,COUNT(cc.number) as nocc
			FROM customers c, credit_cards cc
			WHERE c.ssn=cc.ssn
			GROUP BY c.ssn, cc.type) b
		ON a.ssn=b.ssn AND a.type = b.type;",,,"SELECT
country, COUNT (DISTINCT ssn)
	FROM
	(
	SELECT DISTINCT c.ssn, c.country
	FROM customers c, merchants m, transactions t, credit_cards cc
	WHERE c.ssn = cc.ssn
	AND cc.number = t.number
	AND m.code = t.code
	AND c.country <> m.country
		) b
GROUP BY country ;",,,"SELECT 
t2.identifier
FROM transactions t2, credit_cards cc2
WHERE t2.number = cc2.number 
AND(cc2.type, t2.amount) IN
	(SELECT cc1.type, MAX(t1.amount)
     FROM transactions t1, credit_cards cc1
     WHERE t1.number=cc1.number
	 GROUP BY cc1.type);",,,"SELECT t1.identifier 
FROM transactions t1, credit_cards cc1
WHERE t1.number = cc1.number AND t1.amount >= ALL
	(SELECT t2.amount
	 FROM transactions t2, credit_cards cc2
	 WHERE t2.number = cc2.number AND cc2.type = cc1.type);",,,"SELECT DISTINCT m1.code, m1.name
FROM merchants m1
WHERE m1.code NOT IN (
    SELECT m.code
    FROM merchants m, transactions t, credit_cards cc
    WHERE m.code = t.code
    AND t.number = cc.number
    AND t.amount >= 888
    AND cc.type IN 
	( SELECT DISTINCT cc2.type FROM credit_cards cc2
	WHERE cc2.type LIKE 'visa%'
	OR cc2.type LIKE 'diners-club%' )
	);",,
A0105567A,"SELECT DISTINCT cc.ssn 
FROM credit_cards cc, transactions t
WHERE cc.number = t.number
AND cc.type = 'visa'
AND t.datetime Between '2017-12-25' AND '2017-12-26'",,,"SELECT first_name, last_name 
FROM(
	SELECT DISTINCT c.first_name, c.last_name, c.ssn
	FROM customers c, credit_cards cc
	WHERE c.ssn = cc.ssn
	AND c.country = 'Singapore'
	AND cc.type = 'jcb'
INTERSECT 
	SELECT DISTINCT c2.first_name, c2.last_name, c2.ssn
	FROM credit_cards cc2, customers c2
	WHERE c2.country = 'Singapore'
	AND c2.ssn = cc2.ssn
	AND cc2.type = 'visa') AS temp",,,"SELECT c.ssn, count(number) 
FROM customers c LEFT OUTER JOIN credit_cards cc 
ON c.ssn = cc.ssn
GROUP by c.ssn",,,"DROP VIEW IF EXISTS all_cards;
CREATE VIEW all_cards AS
SELECT *
FROM customers c CROSS JOIN (SELECT DISTINCT cc.type 
							FROM credit_cards cc) AS c_type;
SELECT ac.ssn, ac.type, count(number)
FROM all_cards ac LEFT OUTER JOIN credit_cards cc
ON (ac.ssn, ac.type) = (cc.ssn, cc.type)
GROUP BY ac.ssn, ac.type",,,"SELECT c.country, count(DISTINCT c.ssn)
FROM customers c, credit_cards cc, merchants m, transactions t
WHERE m.code = t.code
AND c.ssn = cc.ssn
AND cc.number = t.number
AND c.country <> m.country
GROUP by c.country",,,"SELECT cc.type, t.identifier
FROM credit_cards cc, transactions t
WHERE cc.number = t.number
AND (cc.type, t.amount) in (
	SELECT cc2.type, MAX(t2.amount)
	FROM credit_cards cc2, transactions t2
	WHERE cc2.number = t2.number
	GROUP BY cc2.type)",,,"SELECT cc.type, t.identifier
FROM credit_cards cc, transactions t
WHERE cc.number = t.number
AND (cc.type, t.amount) >=ALL(
	SELECT cc2.type, t2.amount
	FROM credit_cards cc2, transactions t2
	WHERE cc2.number = t2.number
	AND cc.type = cc2.type)",,,"SELECT m.name
FROM merchants m
WHERE m.name NOT IN (
	SELECT m2.name
	FROM merchants m2, transactions t2, credit_cards cc2
	WHERE m2.code = t2.code
	AND t2.number = cc2.number
    AND (cc2.type like '%visa%' OR cc2.type like '%diners-club%')
	AND t2.amount >=888)","Missing semicolon, CHECK CODE.","Missing semicolon, CHECK CODE."
A0111496H,"SELECT DISTINCT c.ssn
FROM customers c, credit_cards d, transactions t
WHERE d.ssn = c.ssn
AND t.number = d.number
AND d.type = 'visa'
AND t.datetime BETWEEN '2017-12-25 00:00:00.00000'AND '2017-12-25 23:59:59.99999';",,,"SELECT first_name, last_name
FROM customers
WHERE country = 'Singapore'
AND ssn IN(
	SELECT ssn
	FROM credit_cards
	WHERE type = 'jcb'
	INTERSECT 
	SELECT ssn
	FROM credit_cards
	WHERE type = 'visa');",,,"SELECT c.ssn, COUNT(d.ssn) AS no_of_cards
FROM customers c LEFT JOIN credit_cards d ON c.ssn = d.ssn
GROUP BY c.ssn
ORDER BY no_of_cards, c.ssn;",,,"SELECT c.ssn, cs.type, count(d1.type)
FROM (customers c CROSS JOIN (SELECT DISTINCT d.type FROM credit_cards d) AS cs)
	LEFT JOIN credit_cards d1 ON cs.type = d1.type AND c.ssn = d1.ssn
GROUP BY c.ssn, cs.type
ORDER BY c.ssn;",,,"SELECT c.country, COUNT(DISTINCT c.ssn)
FROM transactions t, merchants m, credit_cards d, customers c
WHERE c.ssn = d.ssn
AND t.code = m.code
AND t.number = d.number
AND c.country != m.country
GROUP BY c.country;",,,"SELECT bb.identifier 
FROM (
	SELECT d.type, MAX(t.amount)
	FROM credit_cards d, transactions t
	WHERE t.number = d.number
	GROUP BY d.type) AS aa
INNER JOIN (
	SELECT d1.type, t1.amount, t1.identifier
	FROM credit_cards d1, transactions t1
	WHERE t1.number = d1.number) AS bb
ON aa.max = bb.amount AND aa.type = bb.type;",,,"SELECT t1.identifier
FROM credit_cards d1, transactions t1
WHERE d1.number = t1.number
AND t1.amount >= ALL (
	SELECT t2.amount
	FROM credit_cards d2, transactions t2
	WHERE d2.number = t2.number
	AND d1.type = d2.type);",,,"SELECT m.code, m.name
FROM merchants m
EXCEPT
SELECT DISTINCT m.code, m.name
FROM merchants m, transactions t, credit_cards d
WHERE m.code = t.code
AND t.number = d.number
AND t.amount >=888
AND (d.type LIKE '%visa%' OR d.type LIKE '%diners-club%');",,
