student,1.a,comment,1.b,comment,1.c,comment,1.d,comment,1.e,comment,1.f,comment,1.g,comment,1.h,comment
A0105567A,"SELECT DISTINCT cc.ssn 
FROM credit_cards cc, transactions t
WHERE cc.number = t.number
AND cc.type = 'visa'
AND t.datetime Between '2017-12-25' AND '2017-12-26'","Missing semicolon, CHECK CODE.","SELECT first_name, last_name 
FROM(
	SELECT DISTINCT c.first_name, c.last_name, c.ssn
	FROM customers c, credit_cards cc
	WHERE c.ssn = cc.ssn
	AND c.country = 'Singapore'
	AND cc.type = 'jcb'
INTERSECT 
	SELECT DISTINCT c2.first_name, c2.last_name, c2.ssn
	FROM credit_cards cc2, customers c2
	WHERE c2.country = 'Singapore'
	AND c2.ssn = cc2.ssn
	AND cc2.type = 'visa') AS temp","Missing semicolon, CHECK CODE.","SELECT c.ssn, count(number) 
FROM customers c LEFT OUTER JOIN credit_cards cc 
ON c.ssn = cc.ssn
GROUP by c.ssn","Missing semicolon, CHECK CODE.","DROP VIEW IF EXISTS all_cards;
CREATE VIEW all_cards AS
SELECT *
FROM customers c CROSS JOIN (SELECT DISTINCT cc.type 
							FROM credit_cards cc) AS c_type;
SELECT ac.ssn, ac.type, count(number)
FROM all_cards ac LEFT OUTER JOIN credit_cards cc
ON (ac.ssn, ac.type) = (cc.ssn, cc.type)
GROUP BY ac.ssn, ac.type",,"SELECT c.country, count(DISTINCT c.ssn)
FROM customers c, credit_cards cc, merchants m, transactions t
WHERE m.code = t.code
AND c.ssn = cc.ssn
AND cc.number = t.number
AND c.country <> m.country
GROUP by c.country","Missing semicolon, CHECK CODE.","SELECT cc.type, t.identifier
FROM credit_cards cc, transactions t
WHERE cc.number = t.number
AND (cc.type, t.amount) in (
	SELECT cc2.type, MAX(t2.amount)
	FROM credit_cards cc2, transactions t2
	WHERE cc2.number = t2.number
	GROUP BY cc2.type)","Missing semicolon, CHECK CODE.","SELECT cc.type, t.identifier
FROM credit_cards cc, transactions t
WHERE cc.number = t.number
AND (cc.type, t.amount) >=ALL(
	SELECT cc2.type, t2.amount
	FROM credit_cards cc2, transactions t2
	WHERE cc2.number = t2.number
	AND cc.type = cc2.type)","Missing semicolon, CHECK CODE.","SELECT m.name
FROM merchants m
WHERE m.name NOT IN (
	SELECT m2.name
	FROM merchants m2, transactions t2, credit_cards cc2
	WHERE m2.code = t2.code
	AND t2.number = cc2.number
    AND (cc2.type like '%visa%' OR cc2.type like '%diners-club%')
	AND t2.amount >=888)","Missing semicolon, CHECK CODE."
A0113028W,"SELECT DISTINCT cr.ssn
FROM credit_cards cr, transactions t
WHERE cr.number = t.number
AND (SELECT date(t.datetime)) = '2017-12-25'
AND cr.type = 'visa';",,"SELECT DISTINCT cu.first_name, cu.last_name
FROM customers cu, credit_cards cr1, credit_cards cr2
WHERE cu.ssn = cr1.ssn
AND cu.ssn = cr2.ssn
AND cu.country = 'Singapore'
AND cr1.type = 'jcb'
AND cr2.type = 'visa';",,"SELECT cu.ssn, COUNT(cr.number) AS no_of_cc_owned
FROM customers cu LEFT JOIN credit_cards cr ON cu.ssn = cr.ssn
GROUP BY cu.ssn;",,"SELECT cu.ssn, (CASE WHEN cr.type IS NULL THEN '0' ELSE cr.type END), COUNT(cr.type) AS no_of_cctype_owned
FROM customers cu LEFT JOIN credit_cards cr ON cu.ssn = cr.ssn
GROUP BY cu.ssn, cr.type;",,"SELECT cu.country, count(DISTINCT cu.ssn) AS no_of_customer
FROM customers cu, credit_cards cr, transactions t, merchants m
WHERE cu.ssn = cr.ssn
AND cr.number = t.number
AND t.code = m.code
AND m.country <> cu.country
GROUP BY cu.country;",,"SELECT t1.identifier
FROM transactions t1, credit_cards cr1
WHERE t1.number = cr1.number
AND (cr1.type, t1.amount) IN (
		SELECT cr2.type, MAX(t2.amount)
		FROM transactions t2, credit_cards cr2
		WHERE cr2.number = t2.number
		GROUP BY cr2.type);",,"SELECT t1.identifier
FROM transactions t1, credit_cards cr1
WHERE t1.number = cr1.number
AND t1.amount >= ALL (
		SELECT t2.amount
		FROM transactions t2, credit_cards cr2
		WHERE cr2.number = t2.number
		AND cr1.type = cr2.type);",,"SELECT DISTINCT m1.code, m1.name
FROM merchants m1
WHERE m1.name IN (
	SELECT m2.name
	FROM merchants m2, transactions t, credit_cards cr
	WHERE t.code = m2.code
	AND cr.number = t.number
	AND cr.type LIKE '%diners-club%'
	GROUP BY m2.name
	HAVING MAX(t.amount) < 888
	UNION
	SELECT m3.name
	FROM merchants m3, transactions t, credit_cards cr
	WHERE t.code = m3.code
	AND cr.number = t.number
	AND cr.type LIKE '%visa%'
	GROUP BY m3.name
	HAVING MAX(t.amount) < 888)","Missing semicolon, CHECK CODE."
A0113951L,"select c.ssn
from customers c, credit_cards cc, transactions t
where c.ssn = cc.ssn
and t.number = cc.number
and cc.type = 'visa'
and date(t.datetime::date) = '2017-12-25'","Missing semicolon, CHECK CODE.","select c.first_name, c.last_name
from customers c, credit_cards cc, credit_cards cc1
where c.ssn = cc.ssn
and c.ssn = cc1.ssn
and (cc.type = 'visa' and cc1.type = 'jcb')
order by c.ssn","Missing semicolon, CHECK CODE.","select c.ssn, count(*)
from customers c left join credit_cards cc
on c.ssn = cc.ssn
group by c.ssn","Missing semicolon, CHECK CODE.","select c.ssn, cc.type, sum(
	case
	when c.ssn = cc.ssn then 1
	else 0
	end)
from customers c, credit_cards cc
group by c.ssn, cc.type
order by c.ssn","Missing semicolon, CHECK CODE.","select c.country, count(*)
from customers c, credit_cards cc, merchants m, transactions t
where c.ssn = cc.ssn
and cc.number = t.number
and m.code = t.code
and c.country <> m.country
group by c.country","Missing semicolon, CHECK CODE.","create view all_transactions as 
select cc.type, t.identifier, t.amount
from credit_cards cc, transactions t
where cc.number = t.number
select at.type, at.identifier
from all_transactions as at
inner join (
	select type, max(amount)
	from all_transactions 
	group by type) as b
on at.type = b.type and 
at.amount = b.max","Missing semicolon, CHECK CODE.","select cc.type, t.identifier
from transactions t, credit_cards cc
where t.number = cc.number
and t.amount >= all (
		select t2.amount
		from transactions t2, credit_cards cc2
		where t2.number = cc2.number 
		and cc.type = cc2.type)","Missing semicolon, CHECK CODE.","select m.code
from merchants m
where not exists(
	select * 
	from transactions t
	where m.code = t.code and t.amount >= 888
	and exists(
		select * 
		from credit_cards cc
		where t.number = cc.number
		and (cc.type like 'visa%' or
			 cc.type like 'diners-club%')))","Missing semicolon, CHECK CODE."
A0142279B,"SELECT DISTINCT cc.ssn
FROM credit_cards cc, transactions t
WHERE cc.number = t.number
AND cc.type='visa'
AND t.datetime::date = '2017-12-25';",,"SELECT c.first_name, c.last_name
FROM customers c
WHERE c.country = 'Singapore'
AND c.ssn IN (
	SELECT DISTINCT c.ssn
	FROM customers c, credit_cards cc
	WHERE c.ssn=cc.ssn 
	AND cc.type='visa'
	INTERSECT 
	SELECT DISTINCT c.ssn
	FROM customers c, credit_cards cc
	WHERE c.ssn=cc.ssn 
	AND cc.type='jcb');",,"SELECT c.ssn, COUNT(cc.number) AS number_of_card
FROM customers c LEFT OUTER JOIN credit_cards cc ON c.ssn = cc.ssn
GROUP BY c.ssn;",,"SELECT to_fill.ssn, to_fill.type, COUNT(number) AS number_of_card
FROM (SELECT c.ssn, cc_type.type
	  FROM customers c, (SELECT DISTINCT cc.type FROM credit_cards cc) AS cc_type) AS to_fill
	  LEFT JOIN credit_cards cc1 ON cc1.ssn = to_fill.ssn AND cc1.type = to_fill.type
GROUP BY to_fill.ssn, to_fill.type;",,"SELECT diff_cty.country, COUNT(DISTINCT diff_cty.ssn)
FROM (SELECT c.country, c.ssn
	  FROM customers c, credit_cards cc, transactions t, merchants m
	  WHERE c.ssn = cc.ssn
	  AND cc.number = t.number
	  AND t.code = m.code
	  AND c.country <> m.country) AS diff_cty
GROUP BY diff_cty.country;",,"SELECT DISTINCT t.identifier
FROM transactions t, credit_cards cc,
	(SELECT cc1.type, MAX(t1.amount)
	  FROM credit_cards cc1, transactions t1
	  WHERE cc1.number = t1.number
	  GROUP BY cc1.type) AS max_trans  
WHERE t.amount = max_trans.max
AND cc.number = t.number
AND cc.type = max_trans.type;",,"SELECT DISTINCT t.identifier
FROM credit_cards cc, transactions t 
WHERE cc.number = t.number
AND t.amount >= ALL(SELECT t1.amount 
				   FROM credit_cards cc1, transactions t1
				   WHERE cc1.number = t1.number
				   AND cc.type = cc1.type);",,"SELECT m1.code, m1.name
FROM merchants m1
WHERE m1.code NOT IN (
	SELECT m.code
	FROM merchants m, credit_cards cc, transactions t
	WHERE cc.number = t.number
	AND t.code = m.code
	AND t.amount >= 888
	AND (cc.type LIKE 'visa%' OR cc.type LIKE 'diners-club%'))","Missing semicolon, CHECK CODE."
A0154734A,"select 
  distinct cc.ssn 
from 
  credit_cards cc, 
  transactions t 
where 
  cc.number = t.number 
  and cc.type = 'visa' 
  and extract(
    year 
    from 
      t.datetime
  ) = 2017 
  and extract(
    month 
    from 
      t.datetime
  ) = 12 
  and extract(
    day 
    from 
      t.datetime
  ) = 25 
order by 
  cc.ssn","Missing semicolon, CHECK CODE.","select 
  list.first_name, 
  list.last_name 
from 
  (
    select 
      distinct visa.ssn, 
      visa.first_name, 
      visa.last_name 
    from 
      (
        select 
          c.ssn, 
          c.first_name, 
          c.last_name 
        from 
          customers c, 
          credit_cards cc 
        where 
          c.country = 'Singapore' 
          and cc.type = 'visa' 
          and c.ssn = cc.ssn
      ) as visa, 
      (
        select 
          c.ssn, 
          c.first_name, 
          c.last_name 
        from 
          customers c, 
          credit_cards cc 
        where 
          c.country = 'Singapore' 
          and cc.type = 'jcb' 
          and c.ssn = cc.ssn
      ) as jcb 
    where 
      visa.ssn = jcb.ssn
  ) as list 
order by 
  list.first_name","Missing semicolon, CHECK CODE.","select 
  distinct (c.ssn), 
  Coalesce(
    count(cc.ssn), 
    0
  ) 
from 
  customers c 
  left outer join credit_cards cc on c.ssn = cc.ssn 
group by 
  c.ssn, 
  cc.ssn 
order by 
  c.ssn","Missing semicolon, CHECK CODE.","select 
  z.ssn, 
  z.type, 
  sum(z.count_label) as count 
from 
  (
    select 
      c.ssn, 
      cc.type, 
      cc.ssn as label, 
      (
        case when c.ssn = cc.ssn then 1 else 0 end
      ) as count_label 
    from 
      customers c, 
      credit_cards cc 
    group by 
      c.ssn, 
      cc.type, 
      cc.ssn 
    order by 
      c.ssn, 
      cc.type
  ) as z 
group by 
  z.ssn, 
  z.type 
order by 
  z.ssn, 
  z.type","Missing semicolon, CHECK CODE.","select 
  c.country, 
  count(c.country) 
from 
  customers c, 
  credit_cards cc, 
  merchants m, 
  transactions t 
where 
  c.ssn = cc.ssn 
  and cc.number = t.number 
  and t.code = m.code 
  and c.country != m.country 
group by 
  c.country 
order by 
  c.country","Missing semicolon, CHECK CODE.","select 
  final.identifier 
from 
  (
    select 
      t.identifier, 
      max_amt.max as amt, 
      max_amt.type 
    from 
      (
        select 
          cc.type, 
          max(t.amount) 
        from 
          credit_cards cc, 
          transactions t 
        where 
          cc.number = t.number 
        group by 
          cc.type
      ) as max_amt, 
      transactions t 
    where 
      t.amount = max_amt.max 
    order by 
      max_amt.type
  ) as final","Missing semicolon, CHECK CODE.","select 
  final.identifier 
from 
  (
    select 
      distinct m2.identifier, 
      m2.amount, 
      m2.type 
    from 
      (
        SELECT 
          z.identifier, 
          z.amount, 
          z.type 
        FROM 
          (
            SELECT 
              cc.type, 
              t.identifier, 
              t.amount, 
              ROW_NUMBER() OVER(
                PARTITION BY cc.type 
                ORDER BY 
                  t.amount DESC
              ) rowNumber 
            FROM 
              transactions t, 
              credit_cards cc 
            where 
              t.number = cc.number
          ) as z 
        WHERE 
          z.rowNumber = 1 
        order by 
          z.type
      ) as m1, 
      (
        select 
          t.identifier, 
          t.amount, 
          cc.type 
        from 
          transactions t, 
          credit_cards cc
      ) as m2 
    where 
      m1.amount = m2.amount 
      and m1.type = m2.type 
    order by 
      m2.identifier
  ) as final","Missing semicolon, CHECK CODE.","select 
  m.code, 
  m.name 
from 
  merchants m, 
  credit_cards cc, 
  transactions t 
where 
  m.code = t.code 
  and cc.number = t.number 
except 
select 
  m.code, 
  m.name 
from 
  merchants m, 
  credit_cards cc, 
  transactions t 
where 
  m.code = t.code 
  and cc.number = t.number 
  and t.amount >= 888 
  and (
    cc.type like '%visa%' 
    or cc.type like '%diners-club%'
  )","Missing semicolon, CHECK CODE."
A0218820J,"SELECT DISTINCT c.ssn
FROM customers c,credit_cards cc,transactions t
WHERE c.ssn=cc.ssn
AND t.number=cc.number
AND Date(t.datetime)='2017-12-25'
And cc.type='visa'
ORDER BY c.ssn;",,"SELECT n.first_name, n.last_name
FROM (SELECT DISTINCT c.ssn, c.first_name, c.last_name
FROM customers c,credit_cards cc
WHERE c.ssn=cc.ssn
AND cc.type='jcb'
AND c.country='Singapore'
INTERSECT
SELECT DISTINCT c.ssn, c.first_name, c.last_name
FROM customers c,credit_cards cc
WHERE c.ssn=cc.ssn
AND cc.type='visa'
AND c.country='Singapore') AS n
ORDER BY first_name,last_name;",,"SELECT c.ssn, COUNT(cc.number)
FROM customers c LEFT JOIN credit_cards cc ON c.ssn=cc.ssn
GROUP BY c.ssn
ORDER BY c.ssn;",,"SELECT cr_ty.ssn,cr_ty.type, COUNT(cc.number)
FROM (SELECT DISTINCT credit_cards.type,customers.ssn
FROM credit_cards, customers) AS cr_ty LEFT JOIN credit_cards cc
ON (cr_ty.ssn=cc.ssn AND cr_ty.type= cc.type)
GROUP BY cr_ty.ssn,cr_ty.type
ORDER BY cr_ty.ssn,cr_ty.type;",,"SELECT c.country,COUNT(c.ssn)
FROM customers c, merchants m,transactions t,credit_cards cc
WHERE m.code=t.code
AND t.number=cc.number
AND cc.ssn=c.ssn
AND c.country !=m.country
GROUP BY c.country;",,"SELECT t.identifier
FROM credit_cards c,transactions t
WHERE c.number=t.number
AND (c.type,t.amount) IN (SELECT c.type,MAX(t.amount) FROM credit_cards c,transactions t
WHERE c.number=t.number GROUP BY c.type);",,"SELECT t1.identifier
FROM credit_cards c1,transactions t1
WHERE c1.number=t1.number
AND NOT EXISTS(
SELECT *
FROM transactions t2, credit_cards c2
WHERE t2.number = c2.number
AND c1.type = c2.type
AND t1.amount < t2.amount);",,"SELECT DISTINCT m.code, m.name
FROM merchants m,transactions t,credit_cards cc
WHERE m.code=t.code
AND t.number=cc.number
EXCEPT
SELECT DISTINCT m.code, m.name
FROM merchants m,transactions t,credit_cards cc
WHERE m.code=t.code
AND t.number=cc.number
AND t.amount>=888
AND (cc.type LIKE 'visa%' OR cc.type LIKE 'diners-club%')","Missing semicolon, CHECK CODE."
A0231850M,"SELECT DISTINCT cc.ssn
FROM credit_cards cc, transactions t
WHERE t.datetime >= '2017-12-25'
AND t.datetime < '2017-12-26'
AND t.number = cc.number
AND cc.type = 'visa';",,"SELECT c.first_name, c.last_name
FROM customers c
WHERE c.ssn IN (SELECT DISTINCT(c1.ssn)
				FROM credit_cards c1, credit_cards c2
				WHERE c1.type = 'visa'
				AND c2.type = 'jcb'
				AND c1.ssn = c2.ssn);",,"(SELECT c.ssn, COUNT(*) AS count
 FROM customers c, credit_cards cc
 WHERE c.ssn = cc.ssn
 GROUP BY c.ssn)
UNION
(SELECT c.ssn, 0 AS count
FROM customers c LEFT JOIN credit_cards cc
ON c.ssn = cc.ssn
WHERE cc.ssn ISNULL);",,"SELECT cc.ssn, types.type, COUNT(*) as count
FROM credit_cards cc,
	 (SELECT DISTINCT cc.type
	 FROM credit_cards cc) AS types
WHERE cc.type = types.type
GROUP BY cc.ssn, types.type
ORDER BY ssn, type;",,"SELECT c.country, COUNT(*)
FROM customers c, merchants m
WHERE c.country != m.country
GROUP BY c.country;",,"SELECT t.identifier
FROM transactions t,(
	SELECT cc.type, MAX(t.amount)
	FROM transactions t, credit_cards cc
	WHERE t.number = cc.number
	GROUP BY cc.type) as temp
WHERE t.amount = temp.max;",,"SELECT t1.identifier
FROM transactions t1, credit_cards cc1
WHERE t1.number = cc1.number
AND t1.amount >= ALL(SELECT t2.amount
					 FROM transactions t2, credit_cards cc2
					 WHERE t2.number = cc2.number
					 AND cc1.type = cc2.type)","Missing semicolon, CHECK CODE.","SELECT m.code, m.name
FROM","Missing semicolon, CHECK CODE."
A0231868W,"SELECT c.ssn
FROM customers c, credit_cards cc, transactions t
WHERE c.ssn = cc.ssn
AND t.number = cc.number
AND (SELECT EXTRACT(DAY FROM t.datetime ))= '25'
AND (SELECT EXTRACT(MONTH FROM t.datetime ))= '12'
AND cc.type = 'visa';",,"SELECT first_name, last_name
FROM (SELECT DISTINCT ssn, first_name, last_name
	  FROM customers
	  WHERE country = 'Singapore'
	  AND ssn IN
	  (SELECT ssn
	   FROM credit_cards
       WHERE type ='visa'
	  )
	  AND ssn IN
	  (SELECT ssn
	   FROM credit_cards
       WHERE type ='jcb'
	  )
	 ) d;",,"SELECT c.ssn, count(cc.number) AS number_of_cards
FROM customers c LEFT JOIN credit_cards cc
ON c.ssn = cc.ssn
GROUP BY c.ssn;",,"SELECT r.ssn, g.type, COUNT(d.type) num
FROM (SELECT DISTINCT type FROM credit_cards) g CROSS JOIN
     (SELECT DISTINCT ssn FROM customers) r LEFT JOIN
     (SELECT c.ssn, cc.type FROM customers c LEFT JOIN credit_cards cc
			ON c.ssn = cc.ssn) d
      ON d.ssn = r.ssn AND d.type = g.type
GROUP BY r.ssn, g.type
ORDER BY r.ssn;",,"SELECT c.country, count( distinct c.ssn ) as num
FROM customers c, merchants m, transactions t, credit_cards cc
WHERE c.ssn = cc.ssn
AND cc.number = t.number
AND t.code = m.code
AND c.country <> m.country
GROUP BY c.country","Missing semicolon, CHECK CODE.","SELECT n.identifier, s.type, s.largest
FROM (SELECT cc.type, t.identifier, t.amount
	    FROM transactions t, credit_cards cc
      WHERE t.number = cc.number) n,
     (SELECT cc.type, max(t.amount) largest
      FROM transactions t, credit_cards cc
      WHERE t.number = cc.number
      GROUP BY cc.type) s
WHERE n.amount = s.largest
AND n.type = s.type
ORDER BY type","Missing semicolon, CHECK CODE.","SELECT t.identifier, cc1.type, t.amount
FROM transactions t, credit_cards cc1
WHERE cc1.number = t.number
AND t.amount >=
ALL (SELECT t1.amount
	   FROM transactions t1, credit_cards cc2
	   WHERE cc2.number = t1.number
	   AND cc1.type = cc2.type
	  )
ORDER BY type","Missing semicolon, CHECK CODE.","SELECT code, name
FROM merchants
EXCEPT
SELECT DISTINCT m.code, m.name
FROM merchants m, transactions t, credit_cards cc
WHERE m.code = t.code
AND cc.number = t.number
AND t.amount >=888
AND (cc.type = 'visa'
OR cc.type = 'diners-club')","Missing semicolon, CHECK CODE."
A0231869U,"SELECT DISTINCT c.ssn
FROM customers c, credit_cards cc, transactions t
WHERE c.ssn = cc.ssn
AND cc.number = t.number
AND t.datetime BETWEEN '2017-12-25 00:00:00' AND '2017-12-26 00:00:00'
AND cc.type = 'visa';",,"SELECT c1.first_name, c1.last_name
FROM customers c1
WHERE c1.country = 'Singapore'
AND c1.ssn IN (
	SELECT cc1.ssn
	FROM credit_cards cc1, credit_cards cc2
	WHERE cc1.ssn = cc2.ssn
	AND cc1.type = 'jcb'
	AND cc2.type = 'visa');",,"SELECT c.ssn, count(DISTINCT cc.number) AS number_of_credit_cards
FROM customers c FULL OUTER JOIN credit_cards cc ON c.ssn = cc.ssn
GROUP BY c.ssn
ORDER BY number_of_credit_cards ASC;",,"SELECT c.ssn, cdtype.type, count(DISTINCT cc.number) AS number_of_credit_cards
FROM (SELECT *, 1 AS a FROM customers) AS c
JOIN (SELECT DISTINCT type, 1 AS a FROM credit_cards) AS cdtype 
	ON c.a = cdtype.a
LEFT JOIN credit_cards AS cc ON c.ssn = cc.ssn
	AND cdtype.type = cc.type
GROUP BY c.ssn, cdtype.type
ORDER BY c.ssn;",,"SELECT c.country, count(DISTINCT c.ssn)
FROM customers c LEFT JOIN credit_cards cc ON c.ssn = cc.ssn
LEFT JOIN transactions t ON cc.number = t.number
LEFT JOIN merchants m ON t.code = m.code
WHERE m.country <> c.country
GROUP BY c.country;",,"SELECT DISTINCT cc1.type, t1.identifier
FROM transactions t1, credit_cards cc1
WHERE t1.number = cc1.number
AND cc1.type || t1.amount in
 (SELECT cc.type || MAX(t.amount) FROM transactions t, credit_cards cc
 WHERE t.number = cc.number
 GROUP BY cc.type);",,"SELECT cc.type, t.identifier
FROM transactions t, credit_cards cc
WHERE t.number = cc.number
AND t.amount >= ALL(
	SELECT t2.amount FROM transactions t2, credit_cards cc2 
	WHERE t2.number = cc2.number AND cc2.type=cc.type);",,"SELECT DISTINCT m.code, m.name
FROM merchants m LEFT JOIN transactions t ON m.code = t.code 
LEFT JOIN credit_cards cc ON t.number =cc.number
WHERE cc.type LIKE 'visa%'
OR cc.type LIKE 'diners-club%'
GROUP BY m.code, m.name
HAVING max(t.amount) < 888","Missing semicolon, CHECK CODE."
A0231887U,"select cc.ssn
from credit_cards as cc  
inner join transactions as t on cc.number = t.number
where 1=1
  and cc.type = 'visa' 
  and t.datetime >= '2017-12-25 00:00:00.000000' 
  and t.datetime < '2017-12-26 00:00:00.000000' 
group by 1
;",,"select j.first_name, j.last_name
from (
	 select c.ssn, c.first_name, c.last_name
	 from customers c
	 inner join credit_cards cc on c.ssn = cc.ssn
	 where 1=1 
	   and c.country = 'Singapore'
	   and cc.type = 'jcb'
	 group by 1,2,3
) as j
inner join (
	 select c.ssn, c.first_name, c.last_name
	 from customers c
	 inner join credit_cards cc on c.ssn = cc.ssn
	 where 1=1
	   and c.country = 'Singapore'
	   and cc.type = 'visa'
	 group by 1,2,3
) as v
on (j.ssn = v.ssn and j.first_name = v.first_name and j.last_name = v.last_name)","Missing semicolon, CHECK CODE.","select c.ssn as ssn, count(*) as cnt
from customers c  
left join credit_cards cc on c.ssn = cc.ssn  
where 1=1  
  and cc.ssn is not null
group by 1
union
select c.ssn as ssn, 0 as cnt
from customers c  
left join credit_cards cc on c.ssn = cc.ssn  
where 1=1  
  and cc.ssn is null
group by 1
;",,"select c.ssn, cc.type, count(*) as cnt
from customers as c
left join credit_cards cc on c.ssn = cc.ssn
where 1=1
  and cc.ssn is not null
group by 1,2
union
select c.ssn, cc.type, 0 as cnt
from customers as c
left join credit_cards cc on c.ssn = cc.ssn
where 1=1
  and cc.ssn is null
group by 1,2
;",,"select c.country as cntr_c
	 , count(distinct c.ssn) as cnt
from transactions t
inner join credit_cards cc on cc.number = t.number
inner join merchants m on m.code = t.code
inner join customers c on c.ssn = cc.ssn
where 1=1
  and c.country != m.country
group by 1
order by 1
;",,"select cc.type, count(distinct t.identifier) as cnt
from transactions as t
inner join credit_cards as cc on cc.number = t.number 
group by 1
limit 1","Missing semicolon, CHECK CODE.","select t.identifier 
from (
	select cc.type, t.identifier
	from transactions as t
	inner join credit_cards as cc on cc.number = t.number 
	order by 1
	limit 1
) t","Missing semicolon, CHECK CODE.","select m.code, m.name
from transactions t 
inner join merchants m on m.code = t.code
inner join credit_cards cc on cc.number = t.number
where 1=1
  and (cc.type like '%visa%' or cc.type like '%diners-club%')
group by 1,2
having max(t.amount) < 888
;",
